Razon Socia,Municipi,Descripcion Tipo Rn,Categori,Subcategori,Estado Rn,Tota,Tip,Precio Minim,Precio Maxim,Recomendacio
FRISBY G83,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
SARKU K11,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SARKU K09,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
BARRA PEI AEROP MATECAÑA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 2 CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 4 PEREIRA PLAZA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY G90,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 3 VICTORIA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
LA BODEGA BBC ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
CREPES Y WAFFLES ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PASTELERIA LUCERNA UNICENTRO,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY NO.40,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PASTELERIA LUCERNA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
WINGZ,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
KOKORIKO PEREIRA EL LAGO,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY Q48,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
DON JEDIONDO SOPITAS Y PARRILLA S A S,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
MC DONALD`S CIRCUNVALAR PEREIRA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
MC DONALD`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
ARCHIE`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
FRISBY NO.44,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY NO.1,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PIZZAS PICCOLO CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
G GRAJALES AUTOSERVICIO PLAZA BOLIVAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
G. GRAJALES AUTOSERVICIOS PRINCIPAL,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL IMPERIO LA 16,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
DAM HOTEL PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EJECUTIVO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CUMANDAY (PEREIRA),PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL MANANTIAL RESORT Y CENTRO DE CONVENCIONES,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
CASA RURAL BENELUX,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
BEE HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CASTELLON PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
FINCA JUANCHITO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
